obs	y	sqrt(D)	x
1	0.302	0.055	0.112
2	0.14	0.053	0.206
3	0.203	0.052	0.104
4	0.333	0.052	0.168
5	0.347	0.047	0.337
6	0.216	0.046	0.169
7	0.156	0.046	0.211
8	0.143	0.046	0.195
9	0.22	0.044	0.221
10	0.205	0.044	0.077
11	0.209	0.042	0.195
12	0.266	0.041	0.185
13	0.24	0.041	0.202
14	0.262	0.036	0.108
15	0.144	0.036	0.204
16	0.116	0.035	0.072
17	0.201	0.033	0.142
18	0.212	0.032	0.136
19	0.189	0.031	0.172
20	0.212	0.029	0.202
21	0.166	0.029	0.087
22	0.173	0.027	0.177
23	0.165	0.025	0.072
